"","treasure","human_race_mankind","match_link_couple","magic","classic","jungle","gem_diamond","solve","object","puzzle","destroy_devastate_wreck","ancient","frantic"
"931422",1,1,1,1,1,1,1,1,1,1,1,1,0
"933064",0,0,0,0,0,0,0,0,0,1,0,0,1
