"","king","multiplayer","wall","loyalty_duty","palace","gore_grotesque_foul","enemy","innocent","collect_gather","barrel_crate","corrupt","forest","object","kill","magic","village","hit_strike_blow","dark_black_grim","betray","army","weapon","rescue","underground","hero","torture","smash","clear_away","armor","defeat","adventure","tower","battle","remote_isolated_undiscovered","famous","action","the_earth","story","vehicle","team_group_crew_squad","comic_book","destiny","licensed_content_cultural_products","role_playing","epic","explore","online","outer_space","class_breed_race","alien","siege","planet","city","mystery","singleplayer","family","student","licensed_content_video_games","warrior"
"932329",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932621",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
