"","story","mystery","licensed_content_cultural_products","action","puzzle","adventure","collect_gather","team_group_crew_squad","licensed_content_video_games"
"630328",1,1,0,0,0,0,0,0,0
"632836",0,1,1,1,1,1,1,0,0
"638951",1,0,1,1,0,0,0,1,0
"958041",0,0,0,0,1,0,0,0,1
