"","puzzle","horde_wave_mass","level_stage","action","enemy","realistic_accurate","dangerous","magic","city","evil","team_group_crew_squad","mystery","weapon","rescue"
"944469",1,1,1,1,1,0,0,0,0,0,0,0,0,0
"950801",1,0,1,0,0,1,0,0,0,0,0,0,0,0
"951202",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"954334",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"954814",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"955236",0,0,1,0,1,0,0,0,0,0,0,0,0,0
"958333",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"959661",0,0,0,0,0,0,0,0,1,1,1,0,0,0
"960531",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"960593",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"974362",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"977451",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"981298",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"981383",0,0,1,0,0,0,0,0,0,0,0,0,0,1
