"","combat","adventure","destroy_devastate_wreck","rescue","mission","collect_gather","compete","strategy_tactics","defend","attack","battle","explore","fight","shoot"
"632705",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"632900",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"640643",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"666508",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"673455",0,0,0,0,0,1,1,1,1,1,0,0,0,0
"703246",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"715207",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"721166",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"727962",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"950897",1,0,0,0,0,0,0,0,0,0,1,0,0,1
"960699",0,0,0,1,0,0,0,0,1,0,0,0,0,0
