"","discover_reveal","collect_gather","action","mystery","epic","story","fight","puzzle","enemy","solve","city","adventure","magic","hero","licensed_content_cultural_products","defend","human_race_mankind","combat","battle","compete","team_group_crew_squad","attack","level_stage","licensed_content_video_games","the_earth","rescue","weapon"
"609595",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618245",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"631936",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"944089",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"988768",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0
"996489",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
