"","block_cube_brick","eccentric","pilot","story","fast","missile","weapon","route","outer_space","gem_diamond","shell","small_mini","bubble","beach","trap","level_stage","drink","king","underwater_animal"
"931333",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"931334",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
