"","mystery","realistic_accurate","battle","fight","story","enemy","hero","war","team_group_crew_squad","action","evil","fast","army","horde_wave_mass","level_stage","licensed_content_cultural_products","city","weapon","licensed_content_video_games","magic","destroy_devastate_wreck","human_race_mankind"
"605745",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605800",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606303",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610133",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"611857",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"621319",0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"625928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"632801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"635632",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636218",0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0
"637876",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"641824",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"980074",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"990607",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"997564",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
