"","story","dark_black_grim","blood","brutal_violent_cruel","ancient","sea_ocean","japan","recent_history_1950s-1990s","trap","monster","scary_terrifying_horror","team_group_crew_squad","magic","myth_legend","remote_isolated_undiscovered","city","zombie","united_states","action","comedy_humor_funny","plant_vegetation","death","gore_grotesque_foul","mystery","evil","puzzle","disease_pandemic_virus","kill","technology","gun","family","truth","licensed_content_cultural_products"
"930280",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"936034",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939097",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"939451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"942059",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
