"","playing_cards","classic","shot_sports","enemy","board_game","place_position","clear_away","avoid","friend"
"930845",1,1,1,1,0,0,0,0,0
"930855",0,0,0,1,1,1,1,0,0
"930859",1,0,0,0,0,0,0,1,1
