"","pilot","conquer","drive","defeat","kill","revenge","race","destroy_devastate_wreck","battle","combat","strategy_tactics","fight","power_control_rule"
"606289",1,1,0,0,0,0,0,0,0,0,0,0,0
"624142",0,0,1,1,1,1,1,0,0,0,0,0,0
"660035",0,0,0,0,0,0,0,1,0,0,0,0,0
"984946",0,0,0,0,0,0,0,0,1,0,0,0,0
"997850",0,0,0,0,0,0,0,1,1,1,1,1,1
