"","explore","mini_game","swing","move_special_move","attack","strategy_tactics","agile_athletic","jump","create_design","drive","hack_and_slash","destroy_devastate_wreck","explode_blast","shoot","hit_strike_blow","train_practice","exercise_fitness","smart_clever_wit","contest_match","perform_entertain"
"948798",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950930",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"954367",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958442",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"959070",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"959332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"960592",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"960656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"971403",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"975173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
