"","realistic_accurate","career","athlete","athlete_name","cricket_sports","school","team_group_crew_squad","cricket_field","baseball","crowd_audience_spectators","cheer_applaude","tournament_competition","build_construct","drama","contest_match","arena_stadium","famous","franchise_team","quickplay","online","challenge","multiplayer","captain_team","licensed_tournament","win","sports","country_nation","licensed_content_video_games"
"726154",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"737969",1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"761141",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1
