"","fire_flame","part_piece","objective_target","mission","blow","crazy_wacky","cup_can_container","combo","hit_strike_blow","manipulate","lost_missing","room_chamber","object","space_area_zone","machine","alternate_dimension_reality","mansion","journey","find","eccentric","switch_swap","mystery","physics","travel","family"
"620816",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"640915",0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
