"","move_special_move","online","realistic_accurate","licensed_content_video_games","destroy_devastate_wreck","enemy","battle","fight","tournament_competition","defeat","defend","compete","team_group_crew_squad"
"949453",1,1,1,1,0,0,0,0,0,0,0,0,0
"955340",0,0,1,1,1,1,0,0,0,0,0,0,0
"958702",0,1,1,1,0,0,1,1,0,0,0,0,0
"958704",0,1,0,1,0,0,0,0,1,0,0,0,0
"959013",0,0,1,1,0,0,0,0,1,1,0,0,0
"959188",0,0,0,1,0,0,0,0,0,0,0,0,0
"959291",0,0,1,1,0,0,0,0,0,0,1,1,0
"959972",0,0,1,0,0,1,1,1,1,0,1,0,1
"960358",0,1,1,0,0,0,0,0,1,0,0,0,0
"960428",0,0,0,1,0,0,0,0,0,0,0,0,0
