"","dangerous","hero","magic","mystery","epic","adventure","enemy","licensed_content_cultural_products","the_earth","puzzle","evil","licensed_content_video_games","fast","destroy_devastate_wreck","weapon","action","army","story","level_stage","human_race_mankind","horde_wave_mass"
"949624",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954341",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954379",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"954758",1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"959038",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"959210",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959285",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"960137",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0
"960162",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"960544",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"960798",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"971949",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"973241",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
