"","explore","create_design","strategy_tactics","climb","defeat","fight","cooperate","stop","command_lead","kill","find","destroy_devastate_wreck","rescue","destination_finish_line","battle"
"714467",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"785539",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
