"","combat","story","war","team_group_crew_squad","mission","enemy","realistic_accurate","attack","battle","defend","epic","army","fight","shoot","dangerous","compete"
"604704",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"621364",1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"639414",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
"996871",0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
