"","dangerous","animal","mystery","human_race_mankind","planet","weather","ball","physics","level_stage","puzzle","magic","terrain"
"682786",1,1,1,0,0,0,0,0,0,0,0,0
"718933",0,0,1,1,1,0,0,0,0,0,0,0
"975243",1,0,0,0,0,1,1,1,1,1,1,1
