"","city","enemy","weapon","hero","team_group_crew_squad","action","battle","licensed_content_video_games","war","magic","dangerous","epic","story","licensed_content_cultural_products","realistic_accurate","attack","destroy_devastate_wreck"
"605266",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930010",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"953921",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"960636",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"974897",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988438",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"988982",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"990007",1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"995867",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"996390",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"996587",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"997877",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
