"","comedy_humor_funny","dream","the_earth","chaos","enemy","soldier","team_group_crew_squad","threat","tower","alliance","conspiracy","mystery"
"714467",1,1,0,0,0,0,0,0,0,0,0,0
"785539",0,0,1,1,1,1,1,1,1,1,1,1
