"","army","enemy","war","human_race_mankind","horde_wave_mass","licensed_content_cultural_products","destroy_devastate_wreck","mystery","the_earth","fast","evil","level_stage","team_group_crew_squad","puzzle","action","move_special_move","city","dangerous"
"929230",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932213",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"935725",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"936477",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"938093",0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"939007",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939205",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"939524",0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"939578",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"939859",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"943001",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"943780",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"943781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
