"","defend","team_group_crew_squad","strategy_tactics","attack","tournament_competition","city","hero","move_special_move","realistic_accurate","fight","epic","compete","enemy","fast","story","battle","shoot","action","defeat","collect_gather","dangerous"
"940560",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941947",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943743",1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"944146",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"944281",1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"944734",0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"944960",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"945118",0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945190",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"945505",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"945921",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"946384",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"946395",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"946535",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"946583",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946760",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"947077",1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
"948805",1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"948807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"951177",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"952615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"953866",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"953920",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"955263",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
