"","mystery","the_earth","soldier","planet","disease_pandemic_virus","hero","spaceship","enemy","weapon","armor","alien","special_powers","puzzle","castle"
"937288",1,1,1,1,1,1,1,1,1,1,1,0,0,0
"937723",1,0,0,0,0,0,0,0,0,0,0,1,1,1
