"","fire_flame","part_piece","crazy_wacky","cup_can_container","lost_missing","room_chamber","object","space_area_zone","machine","professor","alternate_dimension_reality","mansion","eccentric","mystery","physics","family"
"620816",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"640915",0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
