"","puzzle","discover_reveal","licensed_content_video_games","defend","city","race","move_special_move","multiplayer","online","collect_gather","singleplayer","magic","licensed_content_cultural_products","human_race_mankind","tournament_competition"
"621202",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"624571",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"627042",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"632840",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"632885",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"632907",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"632928",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"633271",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"652668",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"997654",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
