"","collect_gather","battle","destroy_devastate_wreck","compete","fight","shoot","rescue","solve","defeat","mission","discover_reveal","strategy_tactics","defend","attack"
"944469",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"950801",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"954814",0,0,0,1,1,1,0,0,0,0,0,0,0,0
"955236",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"958334",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"959661",0,0,0,0,0,0,0,1,1,1,1,0,0,0
"960531",0,0,0,0,0,0,0,0,1,0,0,1,1,0
"960593",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"974362",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"979877",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"981298",0,0,0,0,1,0,0,0,1,0,0,0,0,1
"981383",1,0,0,0,0,0,0,0,0,0,0,0,0,0
