"","race","action","tournament_competition","dangerous","fast","realistic_accurate","destroy_devastate_wreck","compete","battle","enemy","weapon","evil","level_stage","adventure","collect_gather","discover_reveal","licensed_content_cultural_products","shoot","defeat"
"931589",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932101",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932810",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"933035",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"934329",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"937016",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"938636",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"941689",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"942032",1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"942347",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"943309",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"943627",0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"944160",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
