"","monster","story","god_deity","special_powers","demon_devil","kingdom","empire","rebel","time","the_earth","conspiracy","japan","equipment","destiny","chaos","crazy_wacky","machine","mystery","family","hero"
"620232",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"657807",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"826388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
