"","clear_away","light_illuminate","resources","magic","dark_black_grim","mystery","aerial","build_construct","collect_gather","island","hero","defeat","rescue","smart_clever_wit","insane_deranged","friend","escape","platform","enemy","navigate","x3d","adventure","x2d","multiplayer","girl_woman","avoid","fly","licensed_content_cultural_products","exotic","food","comedy_humor_funny","dance","ball","city","party_game","journey","bird","sea_ocean","crazy_wacky","fast","color","challenge","mini_game","create_design","realistic_accurate","battle","brutal_violent_cruel","jump","survive","death","smash","horde_wave_mass","run_dash_sprint","action","throw","apocalypse","destroy_devastate_wreck"
"620507",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620508",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621458",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"997916",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
