"","combat","mission","bomb","fly","clear_away","attack","battle","simulation","defend","power_control_rule","fight","shoot","compete"
"604704",1,0,0,0,0,0,0,0,0,0,0,0,0
"621364",1,1,1,1,1,1,1,1,1,0,0,0,0
"639414",1,1,0,1,0,0,1,0,1,1,1,0,0
"996871",0,0,0,1,0,1,1,0,1,0,1,1,1
