"","race","rescue","battle","move_special_move","defeat","explore","combat","fight","adventure","discover_reveal","collect_gather","solve","strategy_tactics","attack"
"623294",1,1,1,1,1,0,0,0,0,0,0,0,0,0
"640403",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"643242",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"650668",0,0,1,1,0,0,1,1,0,0,0,0,0,0
"655925",0,0,0,1,0,0,1,0,1,1,0,0,0,0
"657326",0,1,0,0,0,0,0,0,0,0,1,0,0,0
"657485",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"661391",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"666532",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"674096",0,0,0,0,0,0,0,1,1,0,0,1,0,0
"674874",0,1,1,0,0,0,0,1,1,0,0,0,0,0
"676128",0,1,1,0,0,0,0,0,1,0,1,0,0,0
"678115",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"685538",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"961239",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"995285",0,0,0,0,0,1,0,0,0,0,0,0,1,0
"997885",0,0,0,0,0,1,0,0,1,1,0,0,0,0
