"","territory","gang_criminal_organization_mafia","united_states","command_lead","city","criminal","history","turn_alternate","empire","ride","domesticated_land_animal","castle","bird","weapon","ground_on_land","sword","bomb","magic","artillery_cannon","horde_wave_mass","enemy","missile","capture"
"671116",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672368",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
