"","combat","defeat","defend","move_special_move","battle","fight","destroy_devastate_wreck","collect_gather","adventure","attack","rescue","mission","discover_reveal","solve","shoot","explore"
"928546",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"941882",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"941951",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941960",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"942420",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"942960",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"943273",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"943494",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"943732",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"943951",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"945943",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"946162",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946208",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"946617",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"950878",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"951897",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
