"","comedy_humor_funny","fantasy","all_ages","level_stage","explore","puzzle","monster","dream","chase_pursue","city","criminal","mystery","find","history","discover_reveal","clue","battle","truth","search","conspiracy","action","brutal_violent_cruel","kill"
"622897",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
