"","modern_contemporary_present","city","residents","boy_man","puzzle","open_world_sandbox","famous","explode_blast","evil","special_powers","villain","hero","change_transform_evolve","new_york","third_person_perspective","war","vehicle","enemy","epic","crowd_audience_spectators","army","demon_devil","blood","weapon","human_race_mankind","licensed_content_cultural_products","zombie","car","brutal_violent_cruel","family","alliance","dark_black_grim","licensed_content_video_games","ancient"
"942025",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942350",0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943672",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"956856",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
