"","destroy_devastate_wreck","action","race","fast","solve","team_group_crew_squad","enemy","tournament_competition","defeat","combat","compete","city","mission","realistic_accurate","magic","collect_gather","hero","rescue","attack"
"933706",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938148",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939509",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942008",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942063",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"942072",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"942716",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"942736",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"944359",0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"944937",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"945297",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945385",0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"945662",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"945865",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"955192",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
