"","defeat","race","destroy_devastate_wreck","battle","combat","strategy_tactics","fight"
"624142",1,1,0,0,0,0,0
"660035",0,0,1,0,0,0,0
"984946",0,0,0,1,0,0,0
"997850",0,0,1,1,1,1,1
