"","battle","place_position","confront","attack","manage","collect_gather","build_construct","match_link_couple","journey","hunt","capture"
"611752",1,1,1,1,1,1,1,1,0,0,0
"687861",0,0,0,0,0,0,0,0,1,0,0
"708479",0,0,0,0,0,0,0,0,0,1,0
"998291",1,0,0,0,0,0,0,0,0,0,1
