"","comedy_humor_funny","lively_vibrant_colorful","dream","the_earth","floor","chaos","enemy","soldier","psychic","team_group_crew_squad","altitude_height","threat","tower","alliance","conspiracy","mystery"
"714467",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"785539",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
