"","junk","romance_love","clan","robot","city","police","scary_terrifying_horror","survive","hunger","story","licensed_content_cultural_products","apocalypse","sad_somber_grief","emotion","betray","zombie"
"640836",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"691380",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
