"","city","war","army","weapon","enemy","licensed_content_video_games","the_earth","story","epic","team_group_crew_squad","hero","horde_wave_mass","human_race_mankind","fight","fast","puzzle","rescue","action","attack"
"926055",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926971",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928189",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"928234",0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"928399",0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"928433",0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"928655",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"931339",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"932240",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"935829",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
