"","mission","adventure","solve","fight","collect_gather","shoot","battle","defend","attack","move_special_move","discover_reveal","destroy_devastate_wreck","rescue","defeat","combat","strategy_tactics"
"935091",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945380",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"950933",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"952641",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"954365",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
"956437",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"957916",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"959883",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"960512",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"971665",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
"973238",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"982137",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"987822",0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"991788",0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"996443",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997757",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
