"","puzzle","romance_love","adventure","confront","robot","city","rescue","police","survive","scary_terrifying_horror","licensed_content_video_games","decide_choose","story","licensed_content_cultural_products","apocalypse","zombie"
"640836",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"691380",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
