"","fight","battle","discover_reveal","destroy_devastate_wreck","compete","mission","rescue","defend","combat","strategy_tactics","shoot","fast","attack","explore","defeat","adventure","move_special_move","solve"
"614204",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621309",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"625676",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"625684",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"630384",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"632849",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"632877",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"638784",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645833",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"649286",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"655785",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"658209",0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"661938",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667657",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"669288",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"675535",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"694897",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"695441",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"945061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"977455",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"981368",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"990996",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"998537",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
