"","story","mystery","the_earth","hero","puzzle","enemy","licensed_content_video_games","magic","action","weapon","fast","army","war","epic","human_race_mankind","team_group_crew_squad","destroy_devastate_wreck","attack"
"604158",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609388",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626515",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"632872",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"651555",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"960564",1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
"988055",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
"991144",1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"995452",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"997903",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
