"","destroy_devastate_wreck","epic","adventure","combat","fast","explore","action","enemy","rescue","licensed_content_cultural_products","story"
"516505",1,1,1,1,1,1,1,1,1,0,0
"926982",0,0,0,0,0,0,0,0,0,1,1
