"","collect_gather","race","fast","compete","fight","destroy_devastate_wreck","shoot","solve","adventure","rescue"
"932153",1,0,0,0,0,0,0,0,0,0
"954510",0,1,0,0,0,0,0,0,0,0
"955135",0,1,1,1,0,0,0,0,0,0
"955477",0,1,1,0,0,0,0,0,0,0
"955677",0,1,1,1,1,1,0,0,0,0
"955761",0,0,0,1,0,0,0,0,0,0
"958377",0,1,1,0,0,0,1,0,0,0
"958818",0,0,1,0,0,0,0,0,0,0
"958864",1,1,1,0,0,0,0,1,0,0
"959411",0,1,0,0,0,0,0,0,0,0
"960499",0,1,0,0,0,0,0,0,0,0
"961244",0,1,0,0,0,0,0,0,0,0
"961700",0,1,1,1,0,0,0,0,0,0
"968929",1,0,0,0,0,0,0,0,1,1
"978017",0,1,0,1,0,0,0,0,0,0
"981382",0,1,1,0,0,0,0,0,0,0
