"","playing_cards","licensed_content_video_games","hunt","dangerous","story","enemy","online","soldier","multiplayer","turn_alternate","warrior","ghost","magic","scary_terrifying_horror","capture","animal","battle","strategy_tactics"
"708479",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"998291",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
