"","race","fast","solve","defeat","combat","compete","mission","destroy_devastate_wreck","collect_gather","rescue","attack"
"938148",1,1,0,0,0,0,0,0,0,0,0
"939509",1,0,1,0,0,0,0,0,0,0,0
"942008",1,0,0,0,0,0,0,0,0,0,0
"942063",0,0,0,1,0,0,0,0,0,0,0
"942072",1,1,0,0,0,0,0,0,0,0,0
"942716",1,0,0,0,1,0,0,0,0,0,0
"942736",1,1,0,0,0,1,0,0,0,0,0
"944359",1,0,1,0,0,0,1,0,0,0,0
"944937",1,0,0,0,0,0,0,0,0,0,0
"945297",0,0,0,0,0,0,0,1,0,0,0
"945385",1,1,0,0,0,0,0,0,1,0,0
"945662",1,1,0,0,0,0,0,0,0,1,0
"945865",1,0,0,0,0,1,0,0,1,0,0
"955192",0,1,0,0,0,0,0,1,0,0,1
