"","king","wall","loyalty_duty","palace","gore_grotesque_foul","enemy","innocent","collect_gather","barrel_crate","corrupt","forest","object","kill","magic","village","hit_strike_blow","dark_black_grim","betray","army","weapon","rescue","underground","hero","torture","smash","clear_away","armor","defeat","adventure","tower","battle","remote_isolated_undiscovered","famous","the_earth","story","vehicle","team_group_crew_squad","comic_book","destiny","epic","explore","outer_space","class_breed_race","alien","siege","planet","city","mystery","family"
"932329",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"932621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
