"","licensed_content_cultural_products","rescue","adventure","army","shoot","fight","licensed_content_video_games","story","magic","puzzle"
"628141",1,1,1,0,0,0,0,0,0,0
"647153",0,0,0,1,1,1,1,1,1,1
