"","drive","build_construct","dj","race","grow","perform_entertain","train_practice","win","fast","avoid","ride","balance_composure","skill_technique","crash","create_design","compete","free_roaming","stunt","aerial","destroy_devastate_wreck"
"944952",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948030",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950870",1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"955086",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957702",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960122",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"960538",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
"961030",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"970793",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
"972982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
