"","destroy_devastate_wreck","licensed_content_cultural_products","city","evil","rescue","adventure","licensed_content_video_games","race","solve","mission","team_group_crew_squad","defend","fight","action","move_special_move","attack","multiplayer"
"622370",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632677",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"652585",0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"659951",0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
"659955",0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1
