"","human_race_mankind","licensed_content_video_games","fast","dangerous","evil","licensed_content_cultural_products","team_group_crew_squad","mystery","story","level_stage","hero","enemy","the_earth","realistic_accurate","epic","magic","weapon","action","horde_wave_mass"
"929717",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930825",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932518",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932550",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"932637",0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"932875",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"932877",0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"933054",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"935597",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"938535",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
