"","explode_blast","block_cube_brick","eccentric","action","combo","clear_away","arcade","shoot","pilot","match_link_couple","story","puzzle","fast","collect_gather","missile","weapon","route","create_design","outer_space","reflex","gem_diamond","shell","drink","small_mini","bubble","grow","beach","trap","swim","eat","level_stage","king","underwater_animal"
"931333",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"931334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
