"","army","x3d","city","turn_alternate","puzzle","death","money","enemy","territory","family","demon_devil","girl_woman","underground","famous","playing_cards","dangerous","story","soldier","warrior","ghost","magic","scary_terrifying_horror","animal"
"611752",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687861",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"708479",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"998291",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
