"","police","race","city","online","road","vehicle","escape","famous","licensed_content_video_games","destroy_devastate_wreck","racetrack","collect_gather","global_international_around_the_world","career","licensed","multiplayer","car"
"927143",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"927245",0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1
