"","hero","battle","quest","girl_woman","army","power_control_rule","strategy_tactics","enemy","history","fight","japan","conquer","turn_alternate","famous","myth_legend","city","command_lead","evil","dark_black_grim","psychic","manager_ceo_boss","death","school","life","mystery","attack","ghost","defeat","wild_land_animal","worlds_realm_land_world","hunt","playing_cards","dangerous","collect_gather","build_construct","clan","demon_devil","orc_troll","magic","rebel","war","wizard","monster"
"696378",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"730638",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784567",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"814418",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
