"","compete","race","tournament_competition","city","realistic_accurate","defeat","licensed_content_video_games","online","destroy_devastate_wreck","multiplayer","enemy","action","fast","epic","dangerous","battle","fight"
"939160",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"939534",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"942026",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"942792",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"943020",0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"943354",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"944519",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"945382",1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
"945406",1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"945664",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"946588",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"948965",0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"954984",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
