"","territory","gang_criminal_organization_mafia","strategy_tactics","united_states","command_lead","simulation","combat","conquer","city","criminal","history","turn_alternate","empire","ride","domesticated_land_animal","explode_blast","destroy_devastate_wreck","shoot","castle","defeat","bird","weapon","ground_on_land","sword","defend","bomb","attack","magic","artillery_cannon","fly","horde_wave_mass","enemy","missile","capture"
"671116",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672368",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
