"","quest","explore","story","bird","mystery","domesticated_land_animal","licensed_content_cultural_products","action","art","boat","truth","puzzle","adventure","treasure","collect_gather","criminal","defeat","grumpy","discover_reveal","investigate","undersea_dive","interview_interrogate","smart_clever_wit","tool_instrument","comedy_humor_funny","team_group_crew_squad","clue","kill","mini_game","autopsy","terrorism","case_matter_to_investigate","suspect","evidence","crazy_wacky","solve","search","communication","spy","global_international_around_the_world","catastrophe_disaster","family","threat"
"630328",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632836",1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638951",0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"958041",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
