"","shoot","compete","defend","collect_gather","mission","attack","fight","adventure","solve","battle","move_special_move","defeat","destroy_devastate_wreck","discover_reveal","rescue","fast","combat","strategy_tactics"
"605598",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610767",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"614524",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"935091",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"945380",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"950933",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"952641",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"954365",0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"954470",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"956437",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"957916",1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"958249",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"958257",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"958804",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"959883",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959895",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"960512",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971665",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"971802",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"973238",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"974809",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"975437",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"979875",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"980769",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"981947",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"982137",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"984806",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"987822",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
"988437",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"989515",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"989521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"991788",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"994882",0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
"995172",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"995480",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"996443",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"996570",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"997204",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
"997662",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997757",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
