"","realistic_accurate","tournament_competition","race","enemy","team_group_crew_squad","fast"
"698630",1,1,0,0,0,0
"734964",1,1,1,0,0,0
"786046",1,0,1,1,1,0
"824823",0,1,0,0,0,1
